#EXPORTTYPE:                 ;DATA COMPARE                                                  
#FILE:                       ;26.07.23_NH4Cl_��_10kmin_30-500�.ngb-ds5                      
#FORMAT:                     ;NETZSCH5                                                      
#FTYPE:                      ;ANSI                                                          
#IDENTITY:                   ;NH4Cl_��                                                      
#DECIMAL:                    ;COMMA                                                         
#SEPARATOR:                  ;SEMICOLON                                                     
#MTYPE:                      ;DSC                                                           
#INSTRUMENT:                 ;NETZSCH STA 449F5                                             
#PROJECT:                    ;                                                              
#DATE/TIME:                  ;26.07.2023 10:30:10 (UTC+3)                                   
#CORR. FILE:                 ;29.04.22_correction for composite-10kmin_30+500_N2-120.ngb-bs5
#TEMPCAL:                    ;10kmin-N2_washer+Al2O3+cover.ngb-ts5                          
#SENSITIVITY:                ;10kmin-N2_washer+Al2O3+cover.ngb-ts5.ngb-es5                  
#LABORATORY:                 ;                                                              
#OPERATOR:                   ;                                                              
#REMARK:                     ;                                                              
#SAMPLE:                     ;1                                                             
#SAMPLE MASS /mg:            ;23,8825                                                       
#MATERIAL:                   ;                                                              
#REFERENCE:                  ;                                                              
#REFERENCE MASS /mg:         ;0                                                             
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                              
#SAMPLE CRUCIBLE MASS /mg:   ;0                                                             
#REFERENCE CRUCIBLE MASS /mg:;0                                                             
#DSC RANGE /�V:              ;5000                                                          
#TG RANGE /mg:               ;35000                                                         
#TAU-R:                      ;---                                                           
#CORR. CODE:                 ;020                                                           
#EXO:                        ;+1                                                            
#RANGE:                      ;30�C/10,0(K/min)/500�C                                        
#SEGMENT:                    ;S1/1                                                          
#SEG. 1:                     ;30�C/10,0(K/min)/500�C                                        

##Temp./�C;DSC/(mW/mg)
30,27800;-1,177243e-002
44.60172;-0.15056
45.55664;-0.15712
46.51155;-0.16383
47.46647;-0.16985
48.42138;-0.17546
49.3763;-0.18158
50.33121;-0.18657
51.28613;-0.19179
52.24104;-0.19698
53.19596;-0.20188
54.15087;-0.20663
55.10579;-0.21164
56.0607;-0.21607
57.01562;-0.22051
57.97053;-0.22457
58.92545;-0.22896
59.88036;-0.23265
60.83528;-0.23658
61.79019;-0.24022
62.74511;-0.24406
63.70002;-0.2473
64.65494;-0.25051
65.60985;-0.25406
66.56477;-0.2575
67.51968;-0.25976
68.4746;-0.26335
69.42951;-0.26599
70.38443;-0.26901
71.33934;-0.27179
72.29426;-0.27443
73.24917;-0.27637
74.20409;-0.27878
75.159;-0.28132
76.11392;-0.28315
77.06883;-0.28542
78.02375;-0.28742
78.97866;-0.28941
79.93358;-0.291
80.88849;-0.29277
81.84341;-0.29462
82.79832;-0.29653
83.75324;-0.29792
84.70815;-0.2994
85.66307;-0.30085
86.61798;-0.30204
87.5729;-0.30356
88.52781;-0.3051
89.48273;-0.30623
90.43764;-0.30687
91.39256;-0.30786
92.34747;-0.30868
93.30239;-0.30934
94.2573;-0.3102
95.21222;-0.31084
96.16713;-0.31202
97.12205;-0.3127
98.07696;-0.31318
99.03188;-0.3135
99.98679;-0.31393
100.94171;-0.31469
101.89662;-0.31487
102.85154;-0.31461
103.80645;-0.31509
104.76137;-0.31523
105.71628;-0.3157
106.6712;-0.31566
107.62611;-0.31528
108.58103;-0.3153
109.53594;-0.31571
110.49086;-0.31575
111.44577;-0.31561
112.40069;-0.31532
113.3556;-0.31519
114.31052;-0.31524
115.26543;-0.31488
116.22035;-0.31454
117.17526;-0.31446
118.13018;-0.31377
