#EXPORTTYPE:                 ;DATA COMPARE                                           
#FILE:                       ;26.07.23_NH4Cl_��_3kmin_30-500�.ngb-ds5                
#FORMAT:                     ;NETZSCH5                                               
#FTYPE:                      ;ANSI                                                   
#IDENTITY:                   ;NH4Cl_X4                                               
#DECIMAL:                    ;COMMA                                                  
#SEPARATOR:                  ;SEMICOLON                                              
#MTYPE:                      ;DSC                                                    
#INSTRUMENT:                 ;NETZSCH STA 449F5                                      
#PROJECT:                    ;                                                       
#DATE/TIME:                  ;26.07.2023 13:34:14 (UTC+3)                            
#CORR. FILE:                 ;11.05.23_correction for composite-3kmin_30-500�.ngb-bs5
#TEMPCAL:                    ;3kmin-N2_washer+Al2O3+cover.ngb-ts5                    
#SENSITIVITY:                ;3kmin-N2_washer+Al2O3+cover.ngb-es5                    
#LABORATORY:                 ;                                                       
#OPERATOR:                   ;                                                       
#REMARK:                     ;                                                       
#SAMPLE:                     ;1                                                      
#SAMPLE MASS /mg:            ;21,8907                                                
#MATERIAL:                   ;                                                       
#REFERENCE:                  ;                                                       
#REFERENCE MASS /mg:         ;0                                                      
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                       
#SAMPLE CRUCIBLE MASS /mg:   ;0                                                      
#REFERENCE CRUCIBLE MASS /mg:;0                                                      
#DSC RANGE /�V:              ;5000                                                   
#TG RANGE /mg:               ;35000                                                  
#TAU-R:                      ;---                                                    
#CORR. CODE:                 ;020                                                    
#EXO:                        ;+1                                                     
#RANGE:                      ;30�C/3,0(K/min)/500�C                                  
#SEGMENT:                    ;S1/1                                                   
#SEG. 1:                     ;30�C/3,0(K/min)/500�C                                  

##Temp./�C;DSC/(mW/mg)
30,27800;-1,012354e-002
44.60172;-0.07034692
45.55664;-0.07121578
46.51155;-0.07342372
47.46647;-0.07462338
48.42138;-0.07661811
49.3763;-0.07787605
50.33121;-0.07872701
51.28613;-0.07983104
52.24104;-0.08151781
53.19596;-0.08163724
54.15087;-0.082682
55.10579;-0.08338114
56.0607;-0.08400882
57.01562;-0.08457309
57.97053;-0.08515197
58.92545;-0.08546313
59.88036;-0.08609402
60.83528;-0.08650924
61.79019;-0.08712228
62.74511;-0.08733156
63.70002;-0.08764697
64.65494;-0.08793283
65.60985;-0.08782696
66.56477;-0.0879138
67.51968;-0.08791362
68.4746;-0.08810001
69.42951;-0.08769652
70.38443;-0.08811031
71.33934;-0.08786636
72.29426;-0.08784182
73.24917;-0.08827833
74.20409;-0.08777821
75.159;-0.08742392
76.11392;-0.08744758
77.06883;-0.0874481
78.02375;-0.08709987
78.97866;-0.08691986
79.93358;-0.08657497
80.88849;-0.08622235
81.84341;-0.08618696
82.79832;-0.08587374
83.75324;-0.08543999
84.70815;-0.08503224
85.66307;-0.08482175
86.61798;-0.08442127
87.5729;-0.08363479
88.52781;-0.08345904
89.48273;-0.08296475
90.43764;-0.08215541
91.39256;-0.08179994
92.34747;-0.08114313
93.30239;-0.08051992
94.2573;-0.08008967
95.21222;-0.07923431
96.16713;-0.07890776
97.12205;-0.07815192
98.07696;-0.07775563
99.03188;-0.07675579
99.98679;-0.07695362
100.94171;-0.07616892
101.89662;-0.07570925
102.85154;-0.07480824
103.80645;-0.07421982
104.76137;-0.07396742
105.71628;-0.07329432
106.6712;-0.07244671
107.62611;-0.07187471
108.58103;-0.07109318
109.53594;-0.07091868
110.49086;-0.06991539
111.44577;-0.0694939
112.40069;-0.06909646
113.3556;-0.06811294
114.31052;-0.06782013
115.26543;-0.06731149
116.22035;-0.06671619
117.17526;-0.06613415
118.13018;-0.06561419
119.08509;-0.06491438
120.04001;-0.06442471
120.99492;-0.06350045
121.94984;-0.06294316
122.90475;-0.06237984
123.85967;-0.06178172
124.81458;-0.06081011
125.7695;-0.06044878
126.72441;-0.06027671
127.67933;-0.05892824
128.63424;-0.05839422
129.58916;-0.05811074
130.54407;-0.05752635
131.49899;-0.05697061
132.4539;-0.05584881
133.40882;-0.05545877
134.36373;-0.05489443
135.31865;-0.05385138
136.27356;-0.05365937
137.22848;-0.05284258
138.18339;-0.05238449
139.13831;-0.05203176
140.09322;-0.05153488
141.04814;-0.05064915
142.00305;-0.05015328
142.95797;-0.04976778
143.91288;-0.04895118
144.8678;-0.04848028
145.82271;-0.04794094
146.77763;-0.04742002
147.73254;-0.04675687
148.68746;-0.04623349
149.64237;-0.04519438
150.59729;-0.04504558
151.5522;-0.0445647
152.50712;-0.04375864
153.46203;-0.04380084
154.41695;-0.04273699
155.37186;-0.04261522
156.32678;-0.04174188
