#EXPORTTYPE:                 ;DATA COMPARE                                           
#FILE:                       ;27.07.23_NH4Cl_��_5kmin_30-500�.ngb-ds5                
#FORMAT:                     ;NETZSCH5                                               
#FTYPE:                      ;ANSI                                                   
#IDENTITY:                   ;NH4CL_��                                               
#DECIMAL:                    ;COMMA                                                  
#SEPARATOR:                  ;SEMICOLON                                              
#MTYPE:                      ;DSC                                                    
#INSTRUMENT:                 ;NETZSCH STA 449F5                                      
#PROJECT:                    ;                                                       
#DATE/TIME:                  ;27.07.2023 11:48:33 (UTC+3)                            
#CORR. FILE:                 ;10.05.23_correction for composite-5kmin_30-500�.ngb-bs5
#TEMPCAL:                    ;5kmin-N2_washer+Al2O3+cover.ngb-ts5                    
#SENSITIVITY:                ;5kmin-N2_washer+Al2O3+cover.ngb-es5                    
#LABORATORY:                 ;                                                       
#OPERATOR:                   ;                                                       
#REMARK:                     ;                                                       
#SAMPLE:                     ;1                                                      
#SAMPLE MASS /mg:            ;22,8865                                                
#MATERIAL:                   ;                                                       
#REFERENCE:                  ;                                                       
#REFERENCE MASS /mg:         ;0                                                      
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                       
#SAMPLE CRUCIBLE MASS /mg:   ;0                                                      
#REFERENCE CRUCIBLE MASS /mg:;0                                                      
#DSC RANGE /�V:              ;5000                                                   
#TG RANGE /mg:               ;35000                                                  
#TAU-R:                      ;---                                                    
#CORR. CODE:                 ;020                                                    
#EXO:                        ;+1                                                     
#RANGE:                      ;30�C/5,0(K/min)/500�C                                  
#SEGMENT:                    ;S1/1                                                   
#SEG. 1:                     ;30�C/5,0(K/min)/500�C                                  

##Temp./�C;DSC/(mW/mg)
30,27800;-8,425385e-003
44.60172;-0.09539767
45.55664;-0.09883508
46.51155;-0.10201
47.46647;-0.10462
48.42138;-0.10747
49.3763;-0.11022
50.33121;-0.11266
51.28613;-0.11458
52.24104;-0.11719
53.19596;-0.11892
54.15087;-0.12066
55.10579;-0.12231
56.0607;-0.12403
57.01562;-0.12578
57.97053;-0.12761
58.92545;-0.12901
59.88036;-0.13009
60.83528;-0.13145
61.79019;-0.13225
62.74511;-0.13309
63.70002;-0.13431
64.65494;-0.13502
65.60985;-0.13595
66.56477;-0.13668
67.51968;-0.13721
68.4746;-0.13777
69.42951;-0.13846
70.38443;-0.13899
71.33934;-0.13903
72.29426;-0.13938
73.24917;-0.13993
74.20409;-0.14031
75.159;-0.14041
76.11392;-0.14035
77.06883;-0.14018
78.02375;-0.14059
78.97866;-0.14055
79.93358;-0.14017
80.88849;-0.14078
81.84341;-0.14013
82.79832;-0.14012
83.75324;-0.13996
84.70815;-0.13974
85.66307;-0.13941
86.61798;-0.13909
87.5729;-0.13876
88.52781;-0.1386
89.48273;-0.13798
90.43764;-0.13751
91.39256;-0.13661
92.34747;-0.13668
93.30239;-0.13635
94.2573;-0.13532
95.21222;-0.13476
96.16713;-0.13409
97.12205;-0.13346
98.07696;-0.13287
99.03188;-0.13193
99.98679;-0.13128
100.94171;-0.13065
101.89662;-0.13001
102.85154;-0.12888
103.80645;-0.12848
104.76137;-0.12748
105.71628;-0.12662
106.6712;-0.12585
107.62611;-0.12519
108.58103;-0.12413
109.53594;-0.12302
110.49086;-0.12219
111.44577;-0.12108
112.40069;-0.12028
113.3556;-0.11909
114.31052;-0.11824
115.26543;-0.11771
116.22035;-0.116
