temperature,rate_3
31.23291,99.4638
32.18783,99.47196
33.14274,99.46862
34.09766,99.4674
35.05257,99.46966
36.00749,99.47067
36.9624,99.47695
37.91732,99.48608
38.87223,99.48353
39.82715,99.482
40.78206,99.4777
41.73698,99.47877
42.69189,99.47879
43.64681,99.48928
44.60172,99.48014
45.55664,99.47146
46.51155,99.48288
47.46647,99.48342
48.42138,99.48926
49.3763,99.48563
50.33121,99.48889
51.28613,99.49132
52.24104,99.48243
53.19596,99.47606
54.15087,99.48243
55.10579,99.48653
56.0607,99.49524
57.01562,99.49626
57.97053,99.48608
58.92545,99.50199
59.88036,99.50573
60.83528,99.51212
61.79019,99.51169
62.74511,99.51395
63.70002,99.51761
64.65494,99.51532
65.60985,99.51352
66.56477,99.51024
67.51968,99.51303
68.4746,99.51441
69.42951,99.50573
70.38443,99.50573
71.33934,99.51081
72.29426,99.51441
73.24917,99.52174
74.20409,99.52628
75.159,99.51839
76.11392,99.51669
77.06883,99.51943
78.02375,99.52217
78.97866,99.52537
79.93358,99.524
80.88849,99.53634
81.84341,99.53496
82.79832,99.51935
83.75324,99.51359
84.70815,99.52401
85.66307,99.50847
86.61798,99.50984
87.5729,99.51166
88.52781,99.51989
89.48273,99.524
90.43764,99.52583
91.39256,99.52902
92.34747,99.53222
93.30239,99.53496
94.2573,99.53496
95.21222,99.53496
96.16713,99.53405
97.12205,99.53314
98.07696,99.52309
99.03188,99.52483
99.98679,99.52902
100.94171,99.53424
101.89662,99.54275
102.85154,99.53862
103.80645,99.53633
104.76137,99.53855
105.71628,99.5409
106.6712,99.53268
107.62611,99.52628
108.58103,99.52291
109.53594,99.53085
110.49086,99.5409
111.44577,99.53862
112.40069,99.53633
113.3556,99.53405
114.31052,99.53405
115.26543,99.53679
116.22035,99.54039
117.17526,99.5441
118.13018,99.541
119.08509,99.53816
120.04001,99.53678
120.99492,99.53679
121.94984,99.53079
122.90475,99.52628
123.85967,99.5217
124.81458,99.50984
125.7695,99.50937
126.72441,99.50635
127.67933,99.51258
128.63424,99.51349
129.58916,99.51441
130.54407,99.51486
131.49899,99.51486
132.4539,99.52522
133.40882,99.51669
134.36373,99.50668
135.31865,99.50253
136.27356,99.49842
137.22848,99.49568
138.18339,99.51348
139.13831,99.50983
140.09322,99.50755
141.04814,99.50755
142.00305,99.5071
142.95797,99.50573
143.91288,99.49659
144.8678,99.49385
145.82271,99.49946
146.77763,99.5007
147.73254,99.49328
148.68746,99.50299
149.64237,99.50299
150.59729,99.50299
151.5522,99.49428
152.50712,99.49842
153.46203,99.49255
154.41695,99.48882
155.37186,99.47969
156.32678,99.47329
157.28169,99.46553
158.23661,99.47101
159.19152,99.47101
160.14644,99.47101
161.10135,99.46915
162.05627,99.45735
163.01118,99.4473
163.9661,99.44269
164.92101,99.43046
165.87593,99.42178
166.83084,99.41025
167.78576,99.40477
168.74067,99.40031
169.69559,99.39983
170.6505,99.40066
171.60542,99.39636
172.56033,99.38067
173.51525,99.36366
174.47016,99.35704
175.42508,99.35084
176.37999,99.33657
177.33491,99.31935
178.28982,99.30244
179.24474,99.28691
180.19965,99.27412
181.15457,99.25356
182.10948,99.23537
183.0644,99.22893
184.01931,99.21015
184.97423,99.19057
185.92914,99.17912
186.88406,99.16618
187.83897,99.14296
188.79389,99.11333
189.7488,99.09674
190.70372,99.0794
191.65863,99.05569
192.61355,99.0307
193.56846,99.00489
194.52338,98.98224
195.47829,98.96296
196.43321,98.93284
197.38812,98.88873
198.34304,98.85343
199.29795,98.82377
200.25287,98.78807
201.20778,98.75421
202.1627,98.71237
203.11761,98.67028
204.07253,98.63266
205.02744,98.58647
205.98236,98.52715
206.93727,98.49598
207.89219,98.44898
208.8471,98.39049
209.80202,98.3497
210.75693,98.26963
211.71185,98.2089
212.66676,98.14435
213.62168,98.07913
214.57659,98.02667
215.53151,97.95205
216.48642,97.88069
217.44134,97.80076
218.39625,97.72702
219.35117,97.63777
220.30608,97.54188
221.261,97.44964
222.21591,97.35324
223.17083,97.25898
224.12574,97.14988
225.08066,97.04345
226.03557,96.9074
226.99049,96.81394
227.9454,96.70436
228.90032,96.57285
229.85523,96.45885
230.81015,96.32935
231.76506,96.16864
232.71998,96.03237
233.67489,95.88332
234.62981,95.73288
235.58472,95.57873
236.53964,95.4013
237.49455,95.22173
238.44947,95.04746
239.40438,94.84879
240.3593,94.65722
241.31421,94.45719
242.26913,94.24408
243.22404,94.02453
244.17896,93.80256
245.13387,93.56928
246.08879,93.32068
247.0437,93.06861
247.99862,92.81093
248.95353,92.55018
249.90845,92.27051
250.86336,91.96754
251.81828,91.6784
252.77319,91.36449
253.72811,91.05397
254.68302,90.72334
255.63794,90.36809
256.59285,89.98949
257.54777,89.63718
258.50268,89.27783
259.4576,88.8655
260.41251,88.48251
261.36743,88.05363
262.32234,87.61111
263.27726,87.15192
264.23217,86.6803
265.18709,86.21793
266.142,85.7137
267.09692,85.20691
268.05183,84.69048
269.00675,84.12169
269.96166,83.54868
270.91658,82.97344
271.87149,82.37462
272.82641,81.76289
273.78132,81.12605
274.73624,80.48838
275.69115,79.82123
276.64607,79.12811
277.60098,78.401
278.5559,77.67459
279.51081,76.9138
280.46573,76.13818
281.42064,75.32968
282.37556,74.47291
283.33047,73.62185
284.28539,72.66741
285.2403,71.77826
286.19522,70.79375
287.15013,69.8679
288.10505,68.89053
289.05996,67.84064
290.01488,66.80427
290.96979,65.73334
291.92471,64.61717
292.87962,63.49081
293.83454,62.31771
294.78945,61.10376
295.74437,59.8665
296.69928,58.62307
297.6542,57.34981
298.60911,55.98223
299.56403,54.569
300.51894,53.18616
301.47386,51.77196
302.42877,50.40399
303.38369,48.86554
304.3386,47.26933
305.29352,45.70633
306.24843,44.14667
307.20335,42.55887
308.15826,40.92822
309.11318,39.25144
310.06809,37.57973
311.02301,35.92921
311.97792,34.15332
312.93284,32.40485
313.88775,30.63379
314.84267,28.86107
315.79758,27.06147
316.7525,25.31746
317.70741,23.50287
318.66233,21.7121
319.61724,19.97786
320.57216,18.26516
321.52707,16.63637
322.48199,14.97925
323.4369,13.35642
324.39182,11.90624
325.34673,10.50329
326.30165,9.27962
327.25656,8.28968
328.21148,7.88017
329.16639,7.85587
330.12131,7.82761
331.07622,7.77546
332.03114,7.70038
332.98605,7.60801
333.94097,7.50004
334.89588,7.38008
335.8508,7.24508
336.80571,7.11347
337.76063,6.98197
338.71554,6.86454
339.67046,6.72612
340.62537,6.59795
341.58029,6.45885
342.5352,6.32646
343.49012,6.19048
344.44503,6.06958
345.39995,5.92218
346.35486,5.78967
347.30978,5.63918
348.26469,5.50408
349.21961,5.37947
350.17452,5.2404
351.12944,5.09316
352.08435,4.9674
353.03927,4.84778
353.99418,4.69208
354.9491,4.55125
355.90401,4.40655
356.85893,4.27547
357.81384,4.12568
358.76876,3.96046
359.72367,3.79537
360.67859,3.63458
361.6335,3.45555
362.58842,3.28231
363.54333,3.10005
364.49825,2.93021
365.45316,2.75685
366.40808,2.55949
367.36299,2.3809
368.31791,2.18312
369.27282,1.99157
370.22774,1.80374
371.18265,1.62238
372.13757,1.43093
373.09248,1.25125
374.0474,1.06495
375.00231,0.89639
375.95723,0.74603
376.91214,0.55927
377.86706,0.39316
378.82197,0.26132
379.77689,0.12426
380.7318,-0.01188198
381.68672,-0.11749
382.64163,-0.18874
383.59655,-0.21654
384.55146,-0.22475
385.50638,-0.23115
386.46129,-0.22841
387.41621,-0.222
388.37112,-0.22
389.32604,-0.24343
390.28095,-0.23568
391.23587,-0.25125
392.19078,-0.25216
393.1457,-0.2581
394.10061,-0.26356
395.05553,-0.26632
396.01044,-0.26769
396.96536,-0.26449
397.92027,-0.26084
398.87519,-0.26906
399.8301,-0.27407
400.78502,-0.27683
401.73993,-0.27866
402.69485,-0.28231
403.64976,-0.28551
404.60468,-0.28825
405.55959,-0.28779
406.51451,-0.27729
407.46942,-0.27592
408.42434,-0.275
409.37925,-0.28368
410.33417,-0.28548
411.28908,-0.28731
412.244,-0.28825
413.19891,-0.28048
414.15383,-0.2782
415.10874,-0.27546
416.06366,-0.27637
417.01857,-0.28688
417.97349,-0.28414
418.9284,-0.28898
419.88332,-0.29144
420.83823,-0.2951
421.79315,-0.2951
422.74806,-0.2951
423.70298,-0.29337
424.65789,-0.3006
425.61281,-0.29281
426.56772,-0.31109
427.52264,-0.31566
428.47755,-0.31566
429.43247,-0.32959
430.38738,-0.33028
431.3423,-0.32241
432.29721,-0.31796
433.25213,-0.31566
434.20704,-0.31612
435.16196,-0.31749
436.11687,-0.31886
437.07179,-0.32617
438.0267,-0.32799
438.98162,-0.32962
439.93653,-0.33073
440.89145,-0.3321
441.84636,-0.32617
442.80128,-0.32571
443.75619,-0.32525
444.71111,-0.3248
445.66602,-0.32434
446.62094,-0.32175
447.57585,-0.3216
448.53077,-0.32196
449.48568,-0.33485
450.4406,-0.33667
451.39551,-0.33839
452.35043,-0.34027
453.30534,-0.3417
454.26026,-0.34307
455.21517,-0.34307
456.17009,-0.34352
457.125,-0.34444
458.07992,-0.34535
459.03483,-0.33941
459.98975,-0.33896
460.94466,-0.34261
461.89958,-0.34536
462.85449,-0.34764
463.80941,-0.34764
464.76432,-0.34764
465.71924,-0.34533
466.67415,-0.33667
467.62907,-0.33713
468.58398,-0.33804
469.5389,-0.34352
470.49381,-0.34946
471.44873,-0.35175
472.40364,-0.3522
473.35856,-0.3522
474.31347,-0.35266
475.26839,-0.34764
476.2233,-0.35507
477.17822,-0.34901
478.13313,-0.349
479.08805,-0.34534
480.04296,-0.34581
480.99788,-0.34307
481.95279,-0.35261
482.90771,-0.35677
483.86262,-0.35083
484.81754,-0.36819
485.77245,-0.35816
486.72737,-0.35358
487.68228,-0.3522
488.6372,-0.34124
489.59211,-0.33896
490.54703,-0.35083
491.50194,-0.35997
492.45686,-0.35723
493.41177,-0.3522
494.36669,-0.3592
495.3216,-0.35239
496.27652,-0.35224
497.23143,-0.3522
498.18635,-0.36151
